"","Poll","Date","Sample","Favorable","Unfavorable","Spread","poll_date","candidate","gain","future","net"
"46","The Economist/YouGovEconomist","11/19 - 11/23","2000 A",42,40,"+2",2015-11-20,"Sanders",2.4390243902439,51.219512195122,2
"47","ABC News/Wash PostABC/WP","11/4 - 11/8","1023 A",40,38,"+2",2015-11-05,"Sanders",2.56410256410256,51.2820512820513,2
"48","The Economist/YouGovEconomist","11/5 - 11/9","2000 A",41,37,"+4",2015-11-06,"Sanders",5.12820512820513,52.5641025641026,4
"49","The Economist/YouGovEconomist","10/23 - 10/27","2000 A",42,37,"+5",2015-10-24,"Sanders",6.32911392405063,53.1645569620253,5
"50","Associated Press-GfKAP-GfK","10/15 - 10/19","1027 A",32,30,"+2",2015-10-16,"Sanders",3.2258064516129,51.6129032258064,2
"51","MonmouthMonmouth","10/15 - 10/18","836 RV",35,30,"+5",2015-10-16,"Sanders",7.69230769230769,53.8461538461538,5
"52","The Economist/YouGovEconomist","10/8 - 10/12","2000 A",38,36,"+2",2015-10-09,"Sanders",2.7027027027027,51.3513513513513,2
"53","ABC News/Wash PostABC/WP","10/7 - 10/11","1002 A",35,35,"Tie",2015-10-08,"Sanders",0,50,0
"54","FOX NewsFOX News","9/20 - 9/22","1013 RV",34,36,"-2",2015-09-21,"Sanders",-2.85714285714286,48.5714285714286,-2
"55","QuinnipiacQuinnipiac","9/17 - 9/21","1574 RV",35,28,"+7",2015-09-18,"Sanders",11.1111111111111,55.5555555555556,7
"56","The Economist/YouGovEconomist","9/11 - 9/15","2000 A",39,33,"+6",2015-09-12,"Sanders",8.33333333333333,54.1666666666667,6
"57","The Economist/YouGovEconomist","8/28 - 9/1","2000 A",38,34,"+4",2015-08-29,"Sanders",5.55555555555556,52.7777777777778,4
"58","The Economist/YouGovEconomist","8/14 - 8/18","2000 A",39,32,"+7",2015-08-15,"Sanders",9.85915492957746,54.9295774647887,7
"59","The Economist/YouGovEconomist","7/18 - 7/20","1000 A",33,30,"+3",2015-07-19,"Sanders",4.76190476190476,52.3809523809524,3
"60","ABC News/Wash PostABC/WP","7/8 - 7/12","1011 A",27,28,"-1",2015-07-09,"Sanders",-1.81818181818182,49.0909090909091,-1
"61","The Economist/YouGovEconomist","7/4 - 7/6","1000  A",32,32,"Tie",2015-07-05,"Sanders",0,50,0
"62","The Economist/YouGovEconomist","6/27 - 6/29","1000 A",29,34,"-5",2015-06-28,"Sanders",-7.93650793650794,46.031746031746,-5
"63","The Economist/YouGovEconomist","6/20 - 6/22","1000 A",29,35,"-6",2015-06-21,"Sanders",-9.375,45.3125,-6
"64","MonmouthMonmouth","6/11 - 6/14","829 RV",15,24,"-9",2015-06-12,"Sanders",-23.0769230769231,38.4615384615385,-9
"65","The Economist/YouGovEconomist","6/13 - 6/15","1000 A",28,35,"-7",2015-06-14,"Sanders",-11.1111111111111,44.4444444444444,-7
"66","The Economist/YouGovEconomist","6/6 - 6/8","1000 A",25,32,"-7",2015-06-07,"Sanders",-12.280701754386,43.859649122807,-7
"67","The Economist/YouGovEconomist","5/30 - 6/1","1000 A",27,31,"-4",2015-05-31,"Sanders",-6.89655172413793,46.551724137931,-4
"68","The Economist/YouGovEconomist","5/23 - 5/25","1000 A",28,29,"-1",2015-05-24,"Sanders",-1.75438596491228,49.1228070175439,-1
"69","QuinnipiacQuinnipiac","5/19 - 5/26","1711 RV",19,18,"+1",2015-05-20,"Sanders",2.7027027027027,51.3513513513513,1
"70","The Economist/YouGovEconomist","5/16 - 5/18","1000 A",26,31,"-5",2015-05-17,"Sanders",-8.7719298245614,45.6140350877193,-5
"71","Rasmussen ReportsRasmussen","5/3 - 5/4","1000 LV",29,27,"+2",2015-05-04,"Sanders",3.57142857142857,51.7857142857143,2
"72","The Economist/YouGovEconomist","4/25 - 4/27","1000 A",21,25,"-4",2015-04-26,"Sanders",-8.69565217391304,45.6521739130435,-4
"73","Associated Press/GfKAP-GfK","4/23 - 4/27","1077 A",10,11,"-1",2015-04-24,"Sanders",-4.76190476190476,47.6190476190476,-1
"74","The Economist/YouGovEconomist","4/18 - 4/20","1000 A",22,28,"-6",2015-04-19,"Sanders",-12,44,-6
"75","The Economist/YouGovEconomist","4/11 - 4/13","1000 A",22,28,"-6",2015-04-12,"Sanders",-12,44,-6
"76","The Economist/YouGovEconomist","4/4 - 4/6","1000 A",20,27,"-7",2015-04-05,"Sanders",-14.8936170212766,42.5531914893617,-7
"77","The Economist/YouGovEconomist","3/28 - 3/30","1000 A",24,22,"+2",2015-03-29,"Sanders",4.34782608695652,52.1739130434783,2
"78","The Economist/YouGovEconomist","3/21 - 3/23","1000 A",22,21,"+1",2015-03-22,"Sanders",2.32558139534884,51.1627906976744,1
"79","The Economist/YouGovEconomist","3/14 - 3/16","1000 A",24,22,"+2",2015-03-15,"Sanders",4.34782608695652,52.1739130434783,2
"80","GallupGallup","3/2 - 3/4","1522 A",12,12,"Tie",2015-03-03,"Sanders",0,50,0
"81","The Economist/YouGovEconomist","2/28 - 3/2","1000 A",25,22,"+3",2015-02-28,"Sanders",6.38297872340426,53.1914893617021,3
"82","The Economist/YouGovEconomist","2/21 - 2/23","1000 A",20,20,"Tie",2015-02-21,"Sanders",0,50,0
"83","The Economist/YouGovEconomist","2/14 - 2/16","1000 A",22,21,"+1",2015-02-14,"Sanders",2.32558139534884,51.1627906976744,1
"84","The Economist/YouGovEconomist","2/7 - 2/9","1000 A",20,22,"-2",2015-02-07,"Sanders",-4.76190476190476,47.6190476190476,-2
"85","The Economist/YouGovEconomist","1/31 - 2/2","1000 A",20,22,"-2",2015-01-31,"Sanders",-4.76190476190476,47.6190476190476,-2
"86","The Economist/YouGovEconomist","1/24 - 1/26","1000 A",21,25,"-4",2015-01-24,"Sanders",-8.69565217391304,45.6521739130435,-4
"87","The Economist/YouGovEconomist","1/17 - 1/19","1000 A",18,25,"-7",2015-01-17,"Sanders",-16.2790697674419,41.8604651162791,-7
"88","The Economist/YouGovEconomist","1/10 - 1/12","1000 A",23,23,"Tie",2015-01-10,"Sanders",0,50,0
"89","The Economist/YouGovEconomist","1/3 - 1/5","1000 A",22,23,"-1",2015-01-03,"Sanders",-2.22222222222222,48.8888888888889,-1
"90","The Economist/YouGovEconomist","12/27 - 12/29","1000 A",25,25,"Tie",2014-12-28,"Sanders",0,50,0
"210","The Economist/YouGovThe Economist/YouGov","5/6 - 5/8","2000 A",42,37,"+5",2016-05-06,"Kasich",6.32911392405063,53.1645569620253,5
"310","CNN/ORCCNN/ORC","4/28 - 5/1","1001 A",49,30,"+19",2016-04-28,"Kasich",24.0506329113924,62.0253164556962,19
"410","IBD/TIPPIBD/TIPP","4/22 - 4/28","903 A",38,35,"+3",2016-04-22,"Kasich",4.10958904109589,52.0547945205479,3
"510","The Economist/YouGovThe Economist/YouGov","4/22 - 4/26","2000 A",36,43,"-7",2016-04-22,"Kasich",-8.86075949367089,45.5696202531646,-7
"610","USA Today/SuffolkUSA Today/Suffolk","4/20 - 4/24","1000 LV",43,30,"+13",2016-04-20,"Kasich",17.8082191780822,58.9041095890411,13
"710","GWU/BattlegroundGWU/Battleground","4/17 - 4/20","1000 LV",45,29,"+16",2016-04-17,"Kasich",21.6216216216216,60.8108108108108,16
"810","NBC News/Wall St. JrnlNBC News/Wall St. Jrnl","4/10 - 4/14","1000 RV",31,19,"+12",2016-04-10,"Kasich",24,62,12
"91","CBS NewsCBS News","4/8 - 4/12","1320 A",26,21,"+5",2016-04-08,"Kasich",10.6382978723404,55.3191489361702,5
"101","The Economist/YouGovThe Economist/YouGov","4/8 - 4/11","2000 A",35,42,"-7",2016-04-08,"Kasich",-9.09090909090909,45.4545454545455,-7
"111","ABC News/Wash PostABC News/Wash Post","4/6 - 4/10","1010 A",39,39,"Tie",2016-04-06,"Kasich",0,50,0
"121","The Economist/YouGovThe Economist/YouGov","3/26 - 3/29","2000 A",38,38,"Tie",2016-03-26,"Kasich",0,50,0
"131","PPP (D)PPP (D)","3/24 - 3/26","1083 RV",41,39,"+2",2016-03-24,"Kasich",2.5,51.25,2
"141","FOX NewsFOX News","3/20 - 3/22","1016 RV",40,33,"+7",2016-03-20,"Kasich",9.58904109589041,54.7945205479452,7
"151","BloombergBloomberg","3/19 - 3/22","1000 A",46,32,"+14",2016-03-19,"Kasich",17.9487179487179,58.974358974359,14
"161","QuinnipiacQuinnipiac","3/16 - 3/21","1451 RV",43,20,"+23",2016-03-16,"Kasich",36.5079365079365,68.2539682539683,23
"171","CNN/ORCCNN/ORC","3/17 - 3/20","1001 A",40,31,"+9",2016-03-17,"Kasich",12.6760563380282,56.3380281690141,9
"181","MonmouthMonmouth","3/17 - 3/20","848 RV",50,18,"+32",2016-03-17,"Kasich",47.0588235294118,73.5294117647059,32
"191","The Economist/YouGovThe Economist/YouGov","3/10 - 3/12","2000 A",40,36,"+4",2016-03-10,"Kasich",5.26315789473684,52.6315789473684,4
"201","CNN/ORCCNN/ORC","2/24 - 2/27","920 RV",41,22,"+19",2016-02-24,"Kasich",30.1587301587302,65.0793650793651,19
"211","The Economist/YouGovThe Economist/YouGov","2/24 - 2/27","2000 A",33,37,"-4",2016-02-24,"Kasich",-5.71428571428571,47.1428571428571,-4
"221","NBC News/Wall St. JrnlNBC News/Wall St. Jrnl","2/14 - 2/16","800 RV",26,14,"+12",2016-02-14,"Kasich",30,65,12
"231","Associated Press-GfKAssociated Press-GfK","2/11 - 2/15","1033 A",26,24,"+2",2016-02-11,"Kasich",4,52,2
"241","QuinnipiacQuinnipiac","2/10 - 2/15","1342 RV",35,18,"+17",2016-02-10,"Kasich",32.0754716981132,66.0377358490566,17
"251","The Economist/YouGovThe Economist/YouGov","2/11 - 2/15","2000 A",32,34,"-2",2016-02-11,"Kasich",-3.03030303030303,48.4848484848485,-2
"261","The Economist/YouGovThe Economist/YouGov","1/27 - 1/30","2000 A",27,35,"-8",2016-01-27,"Kasich",-12.9032258064516,43.5483870967742,-8
"271","CNN/ORCCNN/ORC","1/21 - 1/24","1002 A",24,26,"-2",2016-01-21,"Kasich",-4,48,-2
"281","The Economist/YouGovThe Economist/YouGov","12/30 - 1/6","2000 A",24,36,"-12",2015-12-31,"Kasich",-20,40,-12
"291","The Economist/YouGovThe Economist/YouGov","12/18 - 12/21","2000 A",24,39,"-15",2015-12-19,"Kasich",-23.8095238095238,38.0952380952381,-15
"301","CNN/ORCCNN/ORC","12/17 - 12/21","1002 A",22,31,"-9",2015-12-18,"Kasich",-16.9811320754717,41.5094339622642,-9
"311","QuinnipiacQuinnipiac","12/16 - 12/20","1140 RV",21,20,"+1",2015-12-17,"Kasich",2.4390243902439,51.219512195122,1
"321","The Economist/YouGovThe Economist/YouGov","12/4 - 12/9","2000 A",23,37,"-14",2015-12-05,"Kasich",-23.3333333333333,38.3333333333333,-14
"331","Associated Press-GfKAssociated Press-GfK","12/3 - 12/7","1007 A",14,25,"-11",2015-12-04,"Kasich",-28.2051282051282,35.8974358974359,-11
"341","QuinnipiacQuinnipiac","11/23 - 11/30","1473 RV",19,23,"-4",2015-11-24,"Kasich",-9.52380952380952,45.2380952380952,-4
"351","The Economist/YouGovThe Economist/YouGov","11/19 - 11/23","2000 A",22,37,"-15",2015-11-20,"Kasich",-25.4237288135593,37.2881355932203,-15
"361","The Economist/YouGovThe Economist/YouGov","11/5 - 11/9","2000 A",22,34,"-12",2015-11-06,"Kasich",-21.4285714285714,39.2857142857143,-12
"371","The Economist/YouGovThe Economist/YouGov","10/23 - 10/27","2000 A",21,34,"-13",2015-10-24,"Kasich",-23.6363636363636,38.1818181818182,-13
"381","The Economist/YouGovThe Economist/YouGov","10/8 - 10/12","2000 A",23,32,"-9",2015-10-09,"Kasich",-16.3636363636364,41.8181818181818,-9
"391","FOX NewsFOX News","9/20 - 9/22","1013 RV",23,25,"-2",2015-09-21,"Kasich",-4.16666666666667,47.9166666666667,-2
"401","QuinnipiacQuinnipiac","9/17 - 9/21","1574 RV",27,15,"+12",2015-09-18,"Kasich",28.5714285714286,64.2857142857143,12
"411","The Economist/YouGovThe Economist/YouGov","9/11 - 9/15","2000 A",23,30,"-7",2015-09-12,"Kasich",-13.2075471698113,43.3962264150943,-7
"421","The Economist/YouGovThe Economist/YouGov","8/28 - 9/1","2000 A",23,30,"-7",2015-08-29,"Kasich",-13.2075471698113,43.3962264150943,-7
"431","The Economist/YouGovThe Economist/YouGov","8/14 - 8/18","2000 A",26,30,"-4",2015-08-15,"Kasich",-7.14285714285714,46.4285714285714,-4
"441","The Economist/YouGovThe Economist/YouGov","7/18 - 7/20","1000 A",18,24,"-6",2015-07-19,"Kasich",-14.2857142857143,42.8571428571429,-6
"451","Associated Press-GfKAssociated Press-GfK","7/9 - 7/13","1004 A",9,13,"-4",2015-07-10,"Kasich",-18.1818181818182,40.9090909090909,-4
"461","The Economist/YouGovThe Economist/YouGov","7/4 - 7/6","1000  A",20,24,"-4",2015-07-05,"Kasich",-9.09090909090909,45.4545454545455,-4
"471","The Economist/YouGovThe Economist/YouGov","6/27 - 6/29","1000 A",18,22,"-4",2015-06-28,"Kasich",-10,45,-4
"481","The Economist/YouGovThe Economist/YouGov","6/20 - 6/22","1000 A",17,27,"-10",2015-06-21,"Kasich",-22.7272727272727,38.6363636363636,-10
"491","The Economist/YouGovThe Economist/YouGov","6/13 - 6/15","1000 A",17,23,"-6",2015-06-14,"Kasich",-15,42.5,-6
"501","The Economist/YouGovThe Economist/YouGov","6/6 - 6/8","1000 A",18,24,"-6",2015-06-07,"Kasich",-14.2857142857143,42.8571428571429,-6
"511","The Economist/YouGovThe Economist/YouGov","5/30 - 6/1","1000 A",16,23,"-7",2015-05-31,"Kasich",-17.9487179487179,41.025641025641,-7
"521","The Economist/YouGovThe Economist/YouGov","5/23 - 5/25","1000 A",19,25,"-6",2015-05-24,"Kasich",-13.6363636363636,43.1818181818182,-6
"531","QuinnipiacQuinnipiac","5/19 - 5/26","1711 RV",12,12,"Tie",2015-05-20,"Kasich",0,50,0
"541","The Economist/YouGovThe Economist/YouGov","5/16 - 5/18","1000 A",18,33,"-15",2015-05-17,"Kasich",-29.4117647058824,35.2941176470588,-15
"551","FOX NewsFOX News","5/9 - 5/12","1006 RV",12,14,"-2",2015-05-10,"Kasich",-7.69230769230769,46.1538461538462,-2
"561","The Economist/YouGovThe Economist/YouGov","4/25 - 4/27","1000 A",19,19,"Tie",2015-04-26,"Kasich",0,50,0
"571","The Economist/YouGovThe Economist/YouGov","4/18 - 4/20","1000 A",18,24,"-6",2015-04-19,"Kasich",-14.2857142857143,42.8571428571429,-6
"581","The Economist/YouGovThe Economist/YouGov","4/11 - 4/13","1000 A",18,21,"-3",2015-04-12,"Kasich",-7.69230769230769,46.1538461538462,-3
"591","The Economist/YouGovThe Economist/YouGov","4/4 - 4/6","1000 A",18,20,"-2",2015-04-05,"Kasich",-5.26315789473684,47.3684210526316,-2
"601","The Economist/YouGovThe Economist/YouGov","3/28 - 3/30","1000 A",17,21,"-4",2015-03-29,"Kasich",-10.5263157894737,44.7368421052632,-4
"611","The Economist/YouGovThe Economist/YouGov","3/14 - 3/16","1000 A",19,20,"-1",2015-03-15,"Kasich",-2.56410256410256,48.7179487179487,-1
"621","The Economist/YouGovThe Economist/YouGov","3/21 - 3/23","1000 A",17,21,"-4",2015-03-22,"Kasich",-10.5263157894737,44.7368421052632,-4
"631","The Economist/YouGovThe Economist/YouGov","2/28 - 3/2","1000 A",21,19,"+2",2015-02-28,"Kasich",5,52.5,2
"641","The Economist/YouGovThe Economist/YouGov","2/21 - 2/23","1000 A",16,19,"-3",2015-02-21,"Kasich",-8.57142857142857,45.7142857142857,-3
"651","The Economist/YouGovThe Economist/YouGov","2/14 - 2/16","1000 A",19,18,"+1",2015-02-14,"Kasich",2.7027027027027,51.3513513513513,1
"661","The Economist/YouGovThe Economist/YouGov","2/7 - 2/9","1000 A",20,16,"+4",2015-02-07,"Kasich",11.1111111111111,55.5555555555556,4
"671","The Economist/YouGovThe Economist/YouGov","1/31 - 2/2","1000 A",18,19,"-1",2015-01-31,"Kasich",-2.7027027027027,48.6486486486487,-1
"681","QuinnipiacQuinnipiac","6/24 - 6/30","RV",13,9,"+4",2015-06-25,"Kasich",18.1818181818182,59.0909090909091,4
"691","Associated Press/GfKAssociated Press/GfK","3/20 - 3/24","1012 A",8,13,"-5",2015-03-21,"Kasich",-23.8095238095238,38.0952380952381,-5
"701","QuinnipiacQuinnipiac","12/3 - 12/9","RV",12,9,"+3",2014-12-04,"Kasich",14.2857142857143,57.1428571428571,3
"212","CNN/ORCCNN/ORC","2/24 - 2/27","920 RV",44,35,"+9",2016-02-24,"Carson",11.3924050632911,55.6962025316456,9
"312","The Economist/YouGovThe Economist/YouGov","2/24 - 2/27","2000 A",35,47,"-12",2016-02-24,"Carson",-14.6341463414634,42.6829268292683,-12
"412","Associated Press-GfKAssociated Press-GfK","2/11 - 2/15","1033 A",30,41,"-11",2016-02-11,"Carson",-15.4929577464789,42.2535211267606,-11
"512","PPP (D)PPP (D)","2/2 - 2/3","1236 RV",39,44,"-5",2016-02-02,"Carson",-6.02409638554217,46.9879518072289,-5
"612","The Economist/YouGovThe Economist/YouGov","2/11 - 2/15","2000 A",38,44,"-6",2016-02-11,"Carson",-7.31707317073171,46.3414634146341,-6
"711","The Economist/YouGovThe Economist/YouGov","1/27 - 1/30","2000 A",40,42,"-2",2016-01-27,"Carson",-2.4390243902439,48.780487804878,-2
"811","The Economist/YouGovThe Economist/YouGov","1/15 - 1/19","2000 A",36,45,"-9",2016-01-15,"Carson",-11.1111111111111,44.4444444444444,-9
"92","ABC News/Wash PostABC News/Wash Post","1/6 - 1/10","1000 A",41,43,"-2",2016-01-06,"Carson",-2.38095238095238,48.8095238095238,-2
"102","The Economist/YouGovThe Economist/YouGov","12/30 - 1/6","2000 A",36,44,"-8",2015-12-31,"Carson",-10,45,-8
"112","The Economist/YouGovThe Economist/YouGov","12/18 - 12/21","2000 A",39,44,"-5",2015-12-19,"Carson",-6.02409638554217,46.9879518072289,-5
"122","QuinnipiacQuinnipiac","12/16 - 12/20","1140 RV",36,38,"-2",2015-12-17,"Carson",-2.7027027027027,48.6486486486487,-2
"132","PPP (D)PPP (D)","12/16 - 12/17","1267 RV",36,45,"-9",2015-12-17,"Carson",-11.1111111111111,44.4444444444444,-9
"142","The Economist/YouGovThe Economist/YouGov","12/4 - 12/9","2000 A",39,41,"-2",2015-12-05,"Carson",-2.5,48.75,-2
"152","Associated Press-GfKAssociated Press-GfK","12/3 - 12/7","1007 A",32,36,"-4",2015-12-04,"Carson",-5.88235294117647,47.0588235294118,-4
"162","QuinnipiacQuinnipiac","11/23 - 11/30","1473 RV",40,33,"+7",2015-11-24,"Carson",9.58904109589041,54.7945205479452,7
"172","The Economist/YouGovThe Economist/YouGov","11/19 - 11/23","2000 A",39,41,"-2",2015-11-20,"Carson",-2.5,48.75,-2
"182","The Economist/YouGovThe Economist/YouGov","11/5 - 11/9","2000 A",41,36,"+5",2015-11-06,"Carson",6.49350649350649,53.2467532467532,5
"192","ABC News/Wash PostABC News/Wash Post","11/4 - 11/8","1023 A",50,32,"+18",2015-11-05,"Carson",21.9512195121951,60.9756097560976,18
"202","The Economist/YouGovThe Economist/YouGov","10/23 - 10/27","2000 A",42,33,"+9",2015-10-24,"Carson",12,56,9
"213","Associated Press-GfKAssociated Press-GfK","10/15 - 10/19","1027 A",32,31,"+1",2015-10-16,"Carson",1.58730158730159,50.7936507936508,1
"222","MonmouthMonmouth","10/15 - 10/18","836 RV",40,25,"+15",2015-10-16,"Carson",23.0769230769231,61.5384615384615,15
"232","The Economist/YouGovThe Economist/YouGov","10/8 - 10/12","2000 A",43,33,"+10",2015-10-09,"Carson",13.1578947368421,56.578947368421,10
"242","ABC News/Wash PostABC News/Wash Post","9/23 - 9/27","1000 A",45,27,"+18",2015-09-24,"Carson",25,62.5,18
"252","FOX NewsFOX News","9/20 - 9/22","1013 RV",46,27,"+19",2015-09-21,"Carson",26.027397260274,63.013698630137,19
"262","QuinnipiacQuinnipiac","9/17 - 9/21","1574 RV",48,16,"+32",2015-09-18,"Carson",50,75,32
"272","The Economist/YouGovThe Economist/YouGov","9/11 - 9/15","2000 A",41,29,"+12",2015-09-12,"Carson",17.1428571428571,58.5714285714286,12
"282","The Economist/YouGovThe Economist/YouGov","8/28 - 9/1","2000 A",37,30,"+7",2015-08-29,"Carson",10.4477611940298,55.2238805970149,7
"292","The Economist/YouGovThe Economist/YouGov","8/14 - 8/18","2000 A",37,31,"+6",2015-08-15,"Carson",8.82352941176471,54.4117647058823,6
"302","The Economist/YouGovThe Economist/YouGov","7/18 - 7/20","1000 A",33,25,"+8",2015-07-19,"Carson",13.7931034482759,56.8965517241379,8
"313","Associated Press-GfKAssociated Press-GfK","7/9 - 7/13","1004 A",20,15,"+5",2015-07-10,"Carson",14.2857142857143,57.1428571428571,5
"322","The Economist/YouGovThe Economist/YouGov","7/4 - 7/6","1000  A",30,29,"+1",2015-07-05,"Carson",1.69491525423729,50.8474576271186,1
"332","The Economist/YouGovThe Economist/YouGov","6/27 - 6/29","1000 A",33,31,"+2",2015-06-28,"Carson",3.125,51.5625,2
"342","The Economist/YouGovThe Economist/YouGov","6/20 - 6/22","1000 A",29,32,"-3",2015-06-21,"Carson",-4.91803278688525,47.5409836065574,-3
